approach,fold,metric,num_solvers_in_schedule,result,scenario_name
sbs,4.0,number_unsolved_instances_True,,0.22,CSP-Minizinc-Time-2016
oracle,4.0,par10,,6.26,CSP-Minizinc-Time-2016
sbs,4.0,par10,,11105489.48,GRAPHS-2015
sbs,4.0,number_unsolved_instances_False,,0.01,GRAPHS-2015
sbs,4.0,number_unsolved_instances_True,,0.01,GRAPHS-2015
sbs,4.0,par10,,787.95,MAXSAT-PMS-2016
sbs,4.0,number_unsolved_instances_False,,0.04,MAXSAT-PMS-2016
sbs,4.0,number_unsolved_instances_True,,0.04,MAXSAT-PMS-2016
oracle,4.0,par10,,44.26,MAXSAT-PMS-2016
sbs,4.0,par10,,1776.74,MAXSAT-WPMS-2016
sbs,4.0,number_unsolved_instances_False,,0.09,MAXSAT-WPMS-2016
sbs,4.0,number_unsolved_instances_True,,0.09,MAXSAT-WPMS-2016
oracle,4.0,par10,,100.57,MAXSAT-WPMS-2016
sbs,4.0,par10,,1684.97,MAXSAT12-PMS
sbs,4.0,number_unsolved_instances_False,,0.08,MAXSAT12-PMS
sbs,4.0,number_unsolved_instances_True,,0.08,MAXSAT12-PMS
oracle,4.0,par10,,41.29,MAXSAT12-PMS
sbs,4.0,par10,,1374.41,MAXSAT15-PMS-INDU
sbs,4.0,number_unsolved_instances_False,,0.07,MAXSAT15-PMS-INDU
sbs,4.0,number_unsolved_instances_True,,0.07,MAXSAT15-PMS-INDU
oracle,4.0,par10,,54.2,MAXSAT15-PMS-INDU
sbs,4.0,par10,,3465.59,MIP-2016
sbs,4.0,number_unsolved_instances_False,,0.05,MIP-2016
sbs,4.0,number_unsolved_instances_True,,0.05,MIP-2016
oracle,4.0,par10,,233.73,MIP-2016
sbs,4.0,par10,,11189.59,PROTEUS-2014
sbs,4.0,number_unsolved_instances_False,,0.31,PROTEUS-2014
sbs,4.0,number_unsolved_instances_True,,0.31,PROTEUS-2014
sbs,4.0,par10,,8453.14,QBF-2011
sbs,4.0,number_unsolved_instances_False,,0.23,QBF-2011
